116,MC-10010,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde agua,na,na,let,m,2018_10_04 00:00:00
117,MC-11010,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde agua,na,na,let,l,2018_10_04 00:00:00
118,MC-09011,macarena,bikini damas,51,4.25,6,4.68,1.31,1,naranja,na,na,let,s,2018_10_04 00:00:00
119,MC-10011,macarena,bikini damas,51,4.25,6,4.68,1.31,1,naranja,na,na,let,m,2018_10_04 00:00:00
120,MC-11011,macarena,bikini damas,51,4.25,6,4.68,1.31,1,naranja,na,na,let,l,2018_10_04 00:00:00
121,MC-09012,macarena,bikini damas,51,4.25,6,4.68,1.31,1,fucsia,na,na,let,s,2018_10_04 00:00:00
122,MC-10012,macarena,bikini damas,51,4.25,6,4.68,1.31,1,fucsia,na,na,let,m,2018_10_04 00:00:00
123,MC-11012,macarena,bikini damas,51,4.25,6,4.68,1.31,1,fucsia,na,na,let,l,2018_10_04 00:00:00
124,MC-09013,macarena,bikini damas,51,4.25,6,4.68,1.31,1,turqueza,na,na,let,s,2018_10_04 00:00:00
125,MC-10013,macarena,bikini damas,51,4.25,6,4.68,1.31,1,turqueza,na,na,let,m,2018_10_04 00:00:00
126,MC-11013,macarena,bikini damas,51,4.25,6,4.68,1.31,1,turqueza,na,na,let,l,2018_10_04 00:00:00
127,MC-09014,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde limon,na,na,let,s,2018_10_04 00:00:00
128,MC-10014,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde limon,na,na,let,m,2018_10_04 00:00:00
129,MC-11014,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde limon,na,na,let,l,2018_10_04 00:00:00
130,MC-09015,macarena,bikini damas,51,4.25,6,4.68,1.31,1,uva,na,na,let,s,2018_10_04 00:00:00
131,MC-10015,macarena,bikini damas,51,4.25,6,4.68,1.31,1,uva,na,na,let,m,2018_10_04 00:00:00
132,MC-11015,macarena,bikini damas,51,4.25,6,4.68,1.31,1,uva,na,na,let,l,2018_10_04 00:00:00
133,MC-09016,macarena,bikini damas,51,4.25,6,4.68,1.31,1,amarillo,na,na,let,s,2018_10_04 00:00:00
134,MC-10016,macarena,bikini damas,51,4.25,6,4.68,1.31,1,amarillo,na,na,let,m,2018_10_04 00:00:00
135,MC-11016,macarena,bikini damas,51,4.25,6,4.68,1.31,1,amarillo,na,na,let,l,2018_10_04 00:00:00
136,MC-09017,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melange,na,na,let,s,2018_10_04 00:00:00
137,MC-10017,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melange,na,na,let,m,2018_10_04 00:00:00
138,MC-11017,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melange,na,na,let,l,2018_10_04 00:00:00
139,MC-09018,macarena,bikini damas,51,4.25,6,4.68,1.31,1,azulino,na,na,let,s,2018_10_04 00:00:00
140,MC-10018,macarena,bikini damas,51,4.25,6,4.68,1.31,1,azulino,na,na,let,m,2018_10_04 00:00:00
141,MC-11018,macarena,bikini damas,51,4.25,6,4.68,1.31,1,azulino,na,na,let,l,2018_10_04 00:00:00
142,MC-09019,macarena,bikini damas,51,4.25,6,4.68,1.31,1,coral,na,na,let,s,2018_10_04 00:00:00
143,MC-10019,macarena,bikini damas,51,4.25,6,4.68,1.31,1,coral,na,na,let,m,2018_10_04 00:00:00
144,MC-11019,macarena,bikini damas,51,4.25,6,4.68,1.31,1,coral,na,na,let,l,2018_10_04 00:00:00
145,CEF3-09000,cef3,cachetero,78.5,6.54,10,7.2,2.01,na,na,na,na,let,s,2018_10_04 00:00:00
146,CEF3-10000,cef3,cachetero,78.5,6.54,10,7.2,2.01,na,na,na,na,let,m,2018_10_04 00:00:00
147,CEF3-11000,cef3,cachetero,78.5,6.54,10,7.2,2.01,na,na,na,na,let,l,2018_10_04 00:00:00
148,CEF3-09001,cef3,cachetero,78.5,6.54,10,7.2,2.01,1,blanco,na,na,let,s,2018_10_04 00:00:00
149,CEF3-10001,cef3,cachetero,78.5,6.54,10,7.2,2.01,1,blanco,na,na,let,m,2018_10_04 00:00:00
